canonical_asset_id,category,style,variant_or_digit,parent_package_id,screen,exact_location,visible_states,current_implementation,temporary_path_identifier,required_meshy_replacement,shop_use,gameplay_use,animation_states,reduced_motion_behavior,approved_reference_ids,meshy_generation_mode,meshy_task_ids,exact_requested_model,exact_resolved_model_version,prompt_reference,prompt_checksum,reference_input_paths_checksums,request_payload_path,response_payload_path,creation_timestamp,consumed_credits,retry_count,preserved_source_asset_path,provider_native_usdz_path,source_glb_path,runtime_usdz_path,lod_paths,texture_map_paths,source_checksum,runtime_checksum,registry_key,shop_renderer_path,gameplay_renderer_path,thumbnail_path,test_ids,screenshot_ids,author_run_id,reviewer_run_id,final_status,blocking_reason
env.leftWall.back,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1073-1076,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; side=-1 single box; 1 current rendered instance(s).,procedural-scene:env.leftWall.back,"Meshy-origin modular replacement for env.leftWall.back, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.rightWall.back,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1058-1063,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; side=1, 2 shelfRuns; 2 current rendered instance(s).",procedural-scene:env.rightWall.back,"Meshy-origin modular replacement for env.rightWall.back, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.rightWall.alcoveBack,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1064-1066,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; side=1 only; 1 current rendered instance(s).,procedural-scene:env.rightWall.alcoveBack,"Meshy-origin modular replacement for env.rightWall.alcoveBack, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.rightWall.returnWall,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1067-1071,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; z in [5.80,13.30]; 2 current rendered instance(s).",procedural-scene:env.rightWall.returnWall,"Meshy-origin modular replacement for env.rightWall.returnWall, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.leftWall.upright,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1078-1083,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; stride(-11.2,14.0,3.15)=9, no skip for side<0; 9 current rendered instance(s).",procedural-scene:env.leftWall.upright,"Meshy-origin modular replacement for env.leftWall.upright, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.rightWall.upright,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1078-1083,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; same 9-iter stride, 2 skipped where z in(5.7,13.4) for side=1; 7 current rendered instance(s).",procedural-scene:env.rightWall.upright,"Meshy-origin modular replacement for env.rightWall.upright, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.rightWall.alcoveUpright,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1085-1090,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; side=1, z in [5.80,13.30]; 2 current rendered instance(s).",procedural-scene:env.rightWall.alcoveUpright,"Meshy-origin modular replacement for env.rightWall.alcoveUpright, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.leftWall.shelf,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1100-1116,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; 6 shelfLevels * 1 shelfRun; 6 current rendered instance(s).,procedural-scene:env.leftWall.shelf,"Meshy-origin modular replacement for env.leftWall.shelf, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.leftWall.shelfLip,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1100-1116,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; same loop; 6 current rendered instance(s).,procedural-scene:env.leftWall.shelfLip,"Meshy-origin modular replacement for env.leftWall.shelfLip, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.leftWall.shelfRail,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1100-1116,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; same loop; 6 current rendered instance(s).,procedural-scene:env.leftWall.shelfRail,"Meshy-origin modular replacement for env.leftWall.shelfRail, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.rightWall.shelf,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1100-1116,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; 6 shelfLevels * 2 shelfRuns; 12 current rendered instance(s).,procedural-scene:env.rightWall.shelf,"Meshy-origin modular replacement for env.rightWall.shelf, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.rightWall.shelfLip,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1100-1116,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; same loop; 12 current rendered instance(s).,procedural-scene:env.rightWall.shelfLip,"Meshy-origin modular replacement for env.rightWall.shelfLip, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.rightWall.shelfRail,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1100-1116,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; same loop; 12 current rendered instance(s).,procedural-scene:env.rightWall.shelfRail,"Meshy-origin modular replacement for env.rightWall.shelfRail, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.leftWall.fillerBook.body,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1119-1163,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; 8 bays * 5 levels * 7 books, no skip for side<0; 280 current rendered instance(s).",procedural-scene:env.leftWall.fillerBook.body,"Meshy-origin modular replacement for env.leftWall.fillerBook.body, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.leftWall.fillerBook.spine,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1146-1154,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; 1 spine per filler book, same loop; 280 current rendered instance(s).",procedural-scene:env.leftWall.fillerBook.spine,"Meshy-origin modular replacement for env.leftWall.fillerBook.spine, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.leftWall.fillerBook.band,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1156-1161,bookstore|shop|category changes,"Procedural SceneKit/runtime-generated leaf; count of (bay,level,book) in 8x5x7 space with (bay+level+book)%4==0, residue-class enumeration; 70 current rendered instance(s).",procedural-scene:env.leftWall.fillerBook.band,"Meshy-origin modular replacement for env.leftWall.fillerBook.band, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
env.rightWall.fillerBook.body,shop_environment,bookstore,,shop.environment,Club Shop / bookstore room,App/Views/MainMenu/BookstoreSceneCoordinator.swift:1119-1163,bookstore|shop|category changes,Procedural SceneKit/runtime-generated leaf; 5 kept bays(3..7) * 5 levels * 7 books; 175 current rendered instance(s).,procedural-scene:env.rightWall.fillerBook.body,"Meshy-origin modular replacement for env.rightWall.fillerBook.body, preserving valid disclosed instancing.",true,false,,Static unless source path indicates ambient motion; verify after replacement.,CONTRACT-001|MOCKUP-BOOKSTORE-001|MOCKUP-BOOKSTORE-002,,,,,,,,,,,,0,,,,,,,,,,App/Views/MainMenu/BookstoreSceneCoordinator.swift,,,,BASE-CLUBSHOP-COMPACT|BASE-CLUBSHOP-STANDARD|BASE-CLUBSHOP-LARGEST,349D394D-892D-4902-BCE0-C2D340A506FD,39E91EFD-4561-4950-A4E0-8B1ACB8E1C66,BLOCKED,"Current visible environment art is procedural and lacks complete Meshy provenance, registry, source/runtime assets, tests, and approvals."
